name,establishment,city,locality,latitude,longitude,cuisines,average_cost_for_two,highlights,aggregate_rating
The ThickShake Factory,Dessert Parlour,Puducherry,Heritage Town,11.9393084,79.83549099,"Desserts, Beverages",350,"Cash, Takeaway Available, Debit Card, Credit Card, Desserts and Bakes, Pure Veg, Indoor Seating, Air Conditioned",4
Roll Over,Dessert Parlour,Chennai,GST Road,13.00153237,80.1989672,"Desserts, Fast Food",450,"No Alcohol Available, Cash, Takeaway Available, Pure Veg, Indoor Seating, Air Conditioned, Desserts and Bakes",4.1
Barbeque Nation,Casual Dining,Trivandrum,Kannanthura,8.480324051,76.93536658,"North Indian, Mediterranean, Kebab, BBQ",1600,"Lunch, Credit Card, Debit Card, No Alcohol Available, Dinner, Cash, Indoor Seating, Air Conditioned, Buffet",4.3
Lil' America,Casual Dining,Kochi,Kakkanad,10.01527012,76.36498243,"American, Continental, Pizza, Burger, Desserts",1000,"No Alcohol Available, Dinner, Cash, Delivery, Debit Card, Lunch, Takeaway Available, Credit Card, Board Games, Live Entertainment, Air Conditioned, Vegan Options, Karaoke, Indoor Seating, Free Wifi, Kid Friendly, Wifi",2.8
Planet Barbeque - #6 Hotels,Casual Dining,Coimbatore,Saibaba Colony,11.02729153,76.95138037,"North Indian, South Indian",1000,"Dinner, Cash, Credit Card, Lunch, Indoor Seating, Table booking recommended, Private Dining Area Available",3.7
Smoky Lucy Burgers,Quick Bites,Chennai,Anna Nagar West,13.08174537,80.20547926,"Fast Food, Burger, Sandwich, Beverages",500,"No Alcohol Available, Credit Card, Lunch, Cash, Delivery, Dinner, Takeaway Available, Debit Card, Indoor Seating, Air Conditioned, Outdoor Seating",3.8
Tempteys,Dessert Parlour,Chennai,"OMR Food Street, Guduvancheri",12.83268827,80.04921243,"Beverages, Desserts",350,"Delivery, No Alcohol Available, Takeaway Available, Credit Card, Cash, Debit Card, Air Conditioned, Desserts and Bakes, Indoor Seating, Digital Payments Accepted, Pure Veg",3.9
Buttons,Bakery,Chennai,Besant Nagar,13.00255945,80.27196251,"Bakery, Desserts",400,"Credit Card, Cash, Debit Card, Delivery, Takeaway Available, No Seating Available, Desserts and Bakes, Digital Payments Accepted, Air Conditioned",4
Kozhi Kari Mess,Mess,Chennai,Ramapuram,13.03516386,80.18385764,"Chettinad, South Indian",700,"Takeaway Available, Cash, Debit Card, Delivery, Credit Card, Indoor Seating, Air Conditioned",4.3
Hot Chips,Casual Dining,Chennai,Chromepet,12.94286889,80.13353873,"South Indian, Street Food, Chinese",450,"Credit Card, Dinner, Takeaway Available, Lunch, Delivery, No Alcohol Available, Cash, Breakfast, Debit Card, Air Conditioned, Indoor Seating, Pure Veg, Digital Payments Accepted",2.4
Cake Square,Bakery,Chennai,Anna Nagar West,13.09452523,80.20423003,Bakery,400,"Debit Card, Takeaway Available, No Alcohol Available, Credit Card, Cash, Delivery, Pre-Ordering Required, Indoor Seating, Desserts and Bakes, Air Conditioned, Digital Payments Accepted",3.1
Sri Sakthi Meenakchi Pure Veg,Quick Bites,Madurai,Viswanathapuram,9.955234605,78.12899988,"Biryani, South Indian, Chinese",100,"No Alcohol Available, Cash, Lunch, Takeaway Available, Breakfast, Dinner, Indoor Seating",3.7
Cream & Fudge,Dessert Parlour,Chennai,T. Nagar,13.03755809,80.24286121,"Ice Cream, Desserts",250,"Dinner, Cash, Takeaway Available, Credit Card, Lunch, Delivery, Debit Card, Indoor Seating, Desserts and Bakes, Air Conditioned, Pure Veg",3.8
Treat,Casual Dining,Coimbatore,Gandhipuram,11.015706,76.965724,"North Indian, South Indian, Chinese, Italian, Beverages, Continental, Healthy Food",800,"Dinner, Cash, Delivery, Credit Card, Debit Card, Lunch, Takeaway Available, Breakfast, Fullbar, Rooftop, Indoor Seating, Air Conditioned, Smoking Area",3.9
Brownie Heaven,Kiosk,Chennai,Thiruvanmiyur,12.97585718,80.25895547,"Desserts, Beverages",350,"Cash, Takeaway Available, Debit Card, Delivery, Credit Card, Desserts and Bakes",4
Haneefa Restaurant,Casual Dining,Coimbatore,Peelamedu,11.021207,76.987798,South Indian,500,"Credit Card, Delivery, Dinner, Takeaway Available, No Alcohol Available, Indoor Seating",4
The Big Falooda,Dessert Parlour,Kochi,Kacheripady,9.985377076,76.27995171,"Beverages, Desserts",200,"Dinner, Cash, Lunch, Debit Card, Desserts and Bakes, Indoor Seating, Pure Veg",4
So Bar Away,Bar,Chennai,Citadines,12.90057399,80.22734597,"Continental, Mexican, North Indian",1500,"Serves Alcohol, Lunch, Credit Card, Debit Card, Cash, Dinner, Disabled Friendly, Live Entertainment, Indoor Seating, Table booking recommended, Group Meal, Live Sports Screening, Serves Cocktails, Smoking Area, DJ, Nightlife, Free Wifi, Air Conditioned, Free Parking, Fullbar, Restricted Entry",4.1
Rahman Biriyani,Quick Bites,Madurai,KK Nagar,9.929490343,78.14354114,"South Indian, Chinese, Biryani",400,"Lunch, Cash, Takeaway Available, Debit Card, No Alcohol Available, Dinner, Delivery, Credit Card, Indoor Seating",3.8
Cook Gramam,Casual Dining,Chennai,Anna Nagar West,13.09051506,80.20083334,South Indian,550,"Debit Card, Breakfast, Dinner, Lunch, Takeaway Available, Credit Card, Delivery, Cash, Indoor Seating, Air Conditioned, Digital Payments Accepted, Table reservation required, Outdoor Seating",4
A.M Biriyani,Quick Bites,Trichy,Tharanallur,10.83344791,78.69457752,"Biryani, Chinese",300,"Lunch, Cash, Takeaway Available, No Alcohol Available, Dinner, Delivery, Indoor Seating",4.1
Malabar Cafe - Grand Hyatt Kochi Bolgatty,Casual Dining,Kochi,Grand Hyatt Kochi Bolgatty,9.987091,76.265033,Kerala,1800,"Cash, Debit Card, Takeaway Available, Lunch, Dinner, Credit Card, Breakfast, Sneakpeek, Air Conditioned, Table booking recommended, Indoor Seating, Smoking Area",4.2
Hotel Junior Kuppanna,Casual Dining,Chennai,"Forum Vijaya Mall, Vadapalani",13.05093338,80.20949554,"South Indian, Chinese, Biryani",700,"Delivery, Credit Card, Cash, Takeaway Available, Mall Parking, Debit Card, No Alcohol Available, Dinner, Lunch, Air Conditioned, Indoor Seating, Wheelchair Accessible, Table Reservation Not Required",2.5
Hotel Al Maray,Casual Dining,Kochi,Kaloor,9.999180355,76.2972258,"South Indian, North Indian, Arabian",300,"Cash, Takeaway Available, Lunch, No Alcohol Available, Dinner, Indoor Seating, Wifi, Air Conditioned",2.6
Domino's Pizza,Casual Dining,Thrissur,Kizhakkumpattukara,10.5232354,76.22556925,"Pizza, Fast Food",400,"Dinner, Delivery, Credit Card, Lunch, Cash, Takeaway Available, Debit Card, Indoor Seating, Table Reservation Not Required, Air Conditioned",3.4
Ifthar,Casual Dining,Kochi,Edappally,10.0263926,76.30641706,"Biryani, South Indian, Kerala, Arabian, Continental",350,"Lunch, Delivery, Credit Card, Debit Card, No Alcohol Available, Dinner, Cash, Takeaway Available, Breakfast, Indoor Seating, Air Conditioned",3.6
Chicking,Quick Bites,Kochi,Thopumpady,9.935613889,76.26016111,"Fast Food, Burger",500,"Cash, Delivery, Breakfast, Lunch, Credit Card, Takeaway Available, No Alcohol Available, Dinner, Debit Card, Indoor Seating, Air Conditioned",3.7
Heaven's Park,Casual Dining,Madurai,KK Nagar,9.951128856,78.15700416,"Fast Food, North Indian, Burger, Pizza",550,"No Alcohol Available, Dinner, Takeaway Available, Credit Card, Lunch, Cash, Debit Card, Free Parking, Indoor Seating, Halal",3.8
Don Giovanni,Casual Dining,Puducherry,MG Road,11.93500503,79.83106568,Italian,750,"Lunch, Cash, Dinner, Debit Card, Takeaway Available, Serves Alcohol, Credit Card, Rooftop, Outdoor Seating, Table Reservation Not Required",3.8
Cold Stone Creamery,Dessert Parlour,Chennai,"Phoenix Market City, Velachery",12.99156677,80.2167204,"Ice Cream, Desserts",550,"Delivery, Cash, Debit Card, Credit Card, Takeaway Available, Mall Parking, Air Conditioned, Digital Payments Accepted, Indoor Seating, Desserts and Bakes",3.9
